ID,SMILES,CATEGORY
CHEMBL3278797,COC(=O)[C@H](C)NC(=O)c1ccccc1N,MAOB
CHEMBL3585835,COC(=O)CCCCCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3585836,COC(=O)CCCCCN1C(=O)c2ccccc2NC1c1ccc(Cl)cc1,MAOB
CHEMBL3585833,COC(=O)CCCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL218323,Clc1ccc(-c2cc(-c3ccc(Cl)cc3)[nH]n2)cc1,MAOB
CHEMBL3408918,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)NNC(=O)C(Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21,MAOB
CHEMBL3408926,C/C(=N\NC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)c1ccc(O)cc1,MAOB
CHEMBL3408920,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)N/N=C/c1ccccc1,MAOB
CHEMBL514151,CCC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(F)cc1,MAOB
CHEMBL3408922,COc1ccc(/C=N/NC(=O)Cn2c(=O)c(Cc3ccccc3)nc3ccccc32)cc1,MAOB
CHEMBL3585809,COC(=O)CCCNC(=O)c1ccccc1N,MAOB
CHEMBL472903,CCC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccccc1,MAOB
CHEMBL3585830,COC(=O)CCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3585817,COC(=O)C(C)N1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3408921,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)N/N=C/c1ccc(O)cc1,MAOB
CHEMBL223001,CC(=O)N1C(=O)C(=O)c2ccccc21,MAOB
CHEMBL3577040,COC(=O)[C@H](C)NC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL3577047,COC(=O)CCCCCNC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL3577048,COC(=O)C1(NC(=O)c2ccc(NC(=O)C(=O)c3ccccc3NC(C)=O)cc2)CCCC1,MAOB
CHEMBL3577037,COC(=O)CCNC(=O)C(=O)c1ccccc1NC(C)=O,MAOB
CHEMBL3577041,COC(=O)[C@@H](NC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1)C(C)C,MAOB
CHEMBL221293,Cc1ccc(-c2cc(-c3ccc(Cl)cc3)[nH]n2)cc1,MAOB
CHEMBL218324,Fc1ccc(-c2cc(-c3ccc(Cl)cc3)n[nH]2)cc1,MAOB
CHEMBL3585816,COC(=O)C(C)N1C(=O)c2ccccc2NC1c1ccccc1,MAOB
CHEMBL3585814,COC(=O)CN1C(=O)c2ccccc2NC1c1ccc(Cl)cc1,MAOB
CHEMBL3585808,COC(=O)CCNC(=O)c1ccccc1N,MAOB
CHEMBL3585834,COC(=O)CCCN1C(=O)c2ccccc2NC1c1ccco1,MAOB
CHEMBL3585827,NNC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2NC1c1ccco1,MAOB
CHEMBL3585820,COC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2NC1c1ccc(Cl)cc1,MAOB
CHEMBL3408919,CC(C)(C)Oc1ccc(CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)NNC(=O)Cn2c(=O)c(Cc3ccccc3)nc3ccccc32)cc1,MAOB
CHEMBL3577035,COC(=O)[C@H](CC(C)C)NC(=O)C(=O)c1ccccc1NC(C)=O,MAOB
CHEMBL3577034,CCOC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL3577036,COC(=O)C[C@H](NC(=O)C(=O)c1ccccc1NC(C)=O)C(=O)OC,MAOB
CHEMBL3577043,COC(=O)C(C)(C)NC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL3585842,NNC(=O)CCCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3408908,O=C(NNc1nc2ccccc2nc1Cc1ccccc1)c1ccccc1,MAOB
CHEMBL3577045,COC(=O)CCNC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL3577046,COC(=O)CCCNC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL447022,CCC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(OC)cc1,MAOB
CHEMBL3408909,O=C(NNc1nc2ccccc2nc1Cc1ccccc1)c1ccc(Cl)cc1,MAOB
CHEMBL3585843,NNC(=O)CCCN1C(=O)c2ccccc2NC1c1ccco1,MAOB
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,MAOB
CHEMBL3585831,COC(=O)CCN1C(=O)c2ccccc2NC1c1ccc(Cl)cc1,MAOB
CHEMBL3585811,COC(=O)CN1C(=O)c2ccccc2NC1c1ccccc1,MAOB
CHEMBL472716,CCC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1,MAOB
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,MAOB
CHEMBL18116,Cc1cccc(N2CC(CO)OC2=O)c1,MAOB
CHEMBL218059,Clc1ccc(-c2cc(-c3ccccc3)n[nH]2)cc1,MAOB
CHEMBL3585829,COC(=O)CCN1C(=O)c2ccccc2NC1c1ccccc1,MAOB
CHEMBL3585810,COC(=O)CCCCCNC(=O)c1ccccc1N,MAOB
CHEMBL3585819,COC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2NC1c1ccco1,MAOB
CHEMBL514297,CCC(=O)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,MAOB
CHEMBL515389,CCC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccccc1,MAOB
CHEMBL474738,CCC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(F)cc1,MAOB
CHEMBL508959,CCC(=O)N1N=C(c2ccc(F)cc2)CC1c1ccc(Cl)cc1,MAOB
CHEMBL523765,CCC(=O)N1N=C(c2ccc(OC)cc2)CC1c1ccc(OC)cc1,MAOB
CHEMBL18116,Cc1cccc(N2CC(CO)OC2=O)c1,MAOB
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,MAOB
CHEMBL3415439,CCOC(=O)C(C(=O)NCCc1ccccc1)[n+]1ccc2ccccc2c1,MAOB
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,MAOB
CHEMBL221593,Cc1ccc(-c2cc(-c3ccc(C)cc3)[nH]n2)cc1,MAOB
CHEMBL3577042,COC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1,MAOB
CHEMBL3585839,NNC(=O)CCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3585841,NNC(=O)CCCN1C(=O)c2ccccc2NC1c1ccccc1,MAOB
CHEMBL424940,Cc1ccc(-c2cc(-c3ccccc3)[nH]n2)cc1,MAOB
CHEMBL3408930,CC(C)(C)OC(=O)C(Cc1ccc(OC(C)(C)C)cc1)NC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,MAOB
CHEMBL474940,CCC(=O)N1N=C(c2ccc(F)cc2)CC1c1ccccc1,MAOB
CHEMBL3415444,CCOC(=O)C(C(=O)N/N=C/c1ccc(Cl)cc1)[n+]1ccc2ccccc2c1.[Br-],MAOB
CHEMBL3415443,CCOC(=O)C(C(=O)N/N=C/c1ccc([N+](=O)[O-])cc1)[n+]1ccc2ccccc2c1.[Br-],MAOB
CHEMBL3585806,COC(=O)CNC(=O)c1ccccc1N,MAOB
CHEMBL3585813,COC(=O)CN1C(=O)c2ccccc2NC1c1ccco1,MAOB
CHEMBL3408910,COc1ccc(C(=O)NNc2nc3ccccc3nc2Cc2ccccc2)cc1,MAOB
CHEMBL3408923,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)N/N=C/c1ccc(Cl)cc1,MAOB
CHEMBL3408929,CC(C)(C)OC(=O)C(Cc1ccccc1)NC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,MAOB
CHEMBL375966,c1ccc(-c2cc(-c3ccccc3)[nH]n2)cc1,MAOB
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,MAOB
CHEMBL385397,Fc1ccc(-c2cc(-c3ccccc3)n[nH]2)cc1,MAOB
CHEMBL3585826,CC(C(=O)NN)N1C(=O)c2ccccc2NC1c1ccco1,MAOB
CHEMBL3408916,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)NNC(=O)c1ccc([N+](=O)[O-])cc1,MAOB
CHEMBL3408912,O=C(NNc1nc2ccccc2nc1Cc1ccccc1)c1ccc(Br)cc1,MAOB
CHEMBL3408915,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)NNC(=O)c1ccc(Br)cc1,MAOB
